country,year,sex,list,agf,cause,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
CAN,1950,1,interm-ICD-6,4,I000,48236,2196,1014,839,1362,1740,1673,1877,2592,3999,6559,10051,15618,25027,36279,54705,84512,129556,228632,210766,290013,273641,389604,393218,357618
CAN,1950,1,interm-ICD-6,4,I001,142,3,6,2,2,2,4,2,4,2,8,3,0,8,23,13,11,43,0,0,0,0,0,0,0
CAN,1950,1,interm-ICD-6,4,I002,207,151,93,61,172,233,223,251,310,349,405,490,585,636,733,772,845,514,624,631,599,458,1553,1553,0
CAN,1950,1,interm-ICD-6,4,I003,76,2,4,0,2,0,0,2,2,0,3,3,10,8,5,6,11,0,0,0,0,0,0,0,0
CAN,1950,1,interm-ICD-6,4,I004,4498,293,92,28,28,15,16,10,33,32,58,106,122,282,272,335,325,385,843,688,1378,1375,1395,1553,0
CAN,1950,1,interm-ICD-6,4,I005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN,1950,1,interm-ICD-6,4,I006,38,0,1,0,0,5,0,2,4,2,0,6,0,4,14,13,43,21,0,0,0,0,0,0,0
CAN,1950,1,interm-ICD-6,4,I007,0,0,1,0,0,2,0,4,2,2,29,39,88,171,271,463,726,856,1470,1318,1997,1834,3106,3106,0
CAN,1950,1,interm-ICD-6,4,I008,0,0,0,0,0,0,0,0,2,12,16,33,41,76,131,322,422,593,413,459,229,229,0,0,0
CAN,1950,1,interm-ICD-6,4,I009,0,0,1,0,2,2,4,8,38,111,209,318,562,994,1711,2155,2911,2819,3743,4416,1399,1376,1554,1554,0
CAN,1950,1,interm-ICD-6,4,I010,0,0,0,0,0,9,15,23,39,79,143,206,433,866,1372,1619,2653,2643,3152,3382,2362,2292,2790,3106,0
CAN,1950,1,interm-ICD-6,4,I011,0,0,0,0,0,0,0,2,10,32,58,74,149,278,335,457,520,707,413,401,458,458,0,0,0
CAN,1950,1,interm-ICD-6,4,I012,5,3,0,2,2,2,4,10,8,9,29,50,159,194,324,438,671,535,917,974,688,688,0,0,0
CAN,1950,1,interm-ICD-6,4,I013,0,0,0,0,2,0,2,12,29,58,233,383,602,841,1005,900,809,578,1110,1204,788,688,1395,0,13741
CAN,1950,1,interm-ICD-6,4,I014,0,2,0,0,6,0,2,4,8,7,11,24,34,57,72,113,184,278,579,573,599,458,1553,1553,0
CAN,1950,1,interm-ICD-6,4,I015,0,0,0,0,0,0,0,0,2,2,0,0,7,8,5,6,22,21,0,0,0,0,0,0,0
CAN,1950,1,interm-ICD-6,4,I016,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
